region,year,sex,age_gr,population
norway,2006,Male,100 and over,0
norway,2006,Male,20 to 29,285916
norway,2006,Male,30 to 39,349752
norway,2006,Male,40 to 49,336043
norway,2006,Male,50 to 59,306055
norway,2006,Male,60 to 69,212294
norway,2006,Male,70 to 79,129083
norway,2006,Male,80 to 89,66871
norway,2006,Male,90 to 99,7716
norway,2006,Male,Overall,2313886
norway,2007,Both,0 to 9,592372
norway,2007,Both,10 to 19,626203
norway,2007,Both,100 and over,0
norway,2007,Both,20 to 29,574134
norway,2007,Both,30 to 39,685375
norway,2007,Both,40 to 49,668824
norway,2007,Both,50 to 59,603089
norway,2007,Both,60 to 69,454374
norway,2007,Both,70 to 79,286409
norway,2007,Both,80 to 89,185811
norway,2007,Both,90 to 99,32568
norway,2007,Both,Overall,4709159
norway,2007,Female,0 to 9,289498
norway,2007,Female,10 to 19,304648
norway,2007,Female,100 and over,0
norway,2007,Female,20 to 29,282791
norway,2007,Female,30 to 39,337112
norway,2007,Female,40 to 49,326371
norway,2007,Female,50 to 59,296819
norway,2007,Female,60 to 69,229119
norway,2007,Female,70 to 79,157353
norway,2007,Female,80 to 89,118173
norway,2007,Female,90 to 99,24533
norway,2007,Female,Overall,2366417
norway,2007,Male,0 to 9,302874
norway,2007,Male,10 to 19,321555
norway,2007,Male,100 and over,0
norway,2007,Male,20 to 29,291343
norway,2007,Male,30 to 39,348263
norway,2007,Male,40 to 49,342453
norway,2007,Male,50 to 59,306270
norway,2007,Male,60 to 69,225255
norway,2007,Male,70 to 79,129056
norway,2007,Male,80 to 89,67638
norway,2007,Male,90 to 99,8035
norway,2007,Male,Overall,2342742
norway,2008,Both,0 to 9,595081
norway,2008,Both,10 to 19,632108
norway,2008,Both,100 and over,0
norway,2008,Both,20 to 29,589127
norway,2008,Both,30 to 39,682811
norway,2008,Both,40 to 49,681521
norway,2008,Both,50 to 59,606000
norway,2008,Both,60 to 69,475743
norway,2008,Both,70 to 79,286714
norway,2008,Both,80 to 89,185147
norway,2008,Both,90 to 99,33966
norway,2008,Both,Overall,4768218
norway,2008,Female,0 to 9,290811
norway,2008,Female,10 to 19,307409
norway,2008,Female,100 and over,0
norway,2008,Female,20 to 29,289510
norway,2008,Female,30 to 39,334658
norway,2008,Female,40 to 49,331531
norway,2008,Female,50 to 59,298095
norway,2008,Female,60 to 69,239171
norway,2008,Female,70 to 79,156878
norway,2008,Female,80 to 89,117171
norway,2008,Female,90 to 99,25609
norway,2008,Female,Overall,2390843
norway,2008,Male,0 to 9,304270
norway,2008,Male,10 to 19,324699
norway,2008,Male,100 and over,0
norway,2008,Male,20 to 29,299617
norway,2008,Male,30 to 39,348153
norway,2008,Male,40 to 49,349990
norway,2008,Male,50 to 59,307905
norway,2008,Male,60 to 69,236572
norway,2008,Male,70 to 79,129836
norway,2008,Male,80 to 89,67976
norway,2008,Male,90 to 99,8357
norway,2008,Male,Overall,2377375
norway,2009,Both,0 to 9,599899
norway,2009,Both,10 to 19,635695
norway,2009,Both,100 and over,0
norway,2009,Both,20 to 29,604969
norway,2009,Both,30 to 39,679573
norway,2009,Both,40 to 49,694479
norway,2009,Both,50 to 59,610950
norway,2009,Both,60 to 69,494437
norway,2009,Both,70 to 79,288902
norway,2009,Both,80 to 89,184670
norway,2009,Both,90 to 99,35158
norway,2009,Both,Overall,4828732
norway,2009,Female,0 to 9,292988
norway,2009,Female,10 to 19,309018
norway,2009,Female,100 and over,0
norway,2009,Female,20 to 29,297297
norway,2009,Female,30 to 39,332636
norway,2009,Female,40 to 49,337484
norway,2009,Female,50 to 59,300500
norway,2009,Female,60 to 69,247832
norway,2009,Female,70 to 79,157416
norway,2009,Female,80 to 89,116209
norway,2009,Female,90 to 99,26446
norway,2009,Female,Overall,2417826
norway,2009,Male,0 to 9,306911
norway,2009,Male,10 to 19,326677
norway,2009,Male,100 and over,0
norway,2009,Male,20 to 29,307672
norway,2009,Male,30 to 39,346937
norway,2009,Male,40 to 49,356995
norway,2009,Male,50 to 59,310450
norway,2009,Male,60 to 69,246605
norway,2009,Male,70 to 79,131486
norway,2009,Male,80 to 89,68461
norway,2009,Male,90 to 99,8712
norway,2009,Male,Overall,2410906
norway,2010,Both,0 to 9,604503
norway,2010,Both,10 to 19,638043
norway,2010,Both,100 and over,0
norway,2010,Both,20 to 29,622372
norway,2010,Both,30 to 39,676988
norway,2010,Both,40 to 49,706335
norway,2010,Both,50 to 59,616761
norway,2010,Both,60 to 69,511210
norway,2010,Both,70 to 79,292457
norway,2010,Both,80 to 89,183635
norway,2010,Both,90 to 99,36954
norway,2010,Both,Overall,4889258
norway,2010,Female,0 to 9,295152
norway,2010,Female,10 to 19,309801
norway,2010,Female,100 and over,0
norway,2010,Female,20 to 29,306150
norway,2010,Female,30 to 39,331156
norway,2010,Female,40 to 49,343283
norway,2010,Female,50 to 59,303204
norway,2010,Female,60 to 69,255739
norway,2010,Female,70 to 79,158615
norway,2010,Female,80 to 89,114693
norway,2010,Female,90 to 99,27661
norway,2010,Female,Overall,2445454
norway,2010,Male,0 to 9,309351
norway,2010,Male,10 to 19,328242
norway,2010,Male,100 and over,0
norway,2010,Male,20 to 29,316222
norway,2010,Male,30 to 39,345832
norway,2010,Male,40 to 49,363052
norway,2010,Male,50 to 59,313557
norway,2010,Male,60 to 69,255471
norway,2010,Male,70 to 79,133842
norway,2010,Male,80 to 89,68942
norway,2010,Male,90 to 99,9293
norway,2010,Male,Overall,2443804
norway,2011,Both,0 to 9,609221
norway,2011,Both,10 to 19,637729
norway,2011,Both,100 and over,0
norway,2011,Both,20 to 29,642457
norway,2011,Both,30 to 39,676845
norway,2011,Both,40 to 49,718491
norway,2011,Both,50 to 59,623942
norway,2011,Both,60 to 69,527215
norway,2011,Both,70 to 79,295825
norway,2011,Both,80 to 89,182273
norway,2011,Both,90 to 99,39096
norway,2011,Both,Overall,4953094
norway,2011,Female,0 to 9,297325
norway,2011,Female,10 to 19,309572
norway,2011,Female,100 and over,0
norway,2011,Female,20 to 29,315551
norway,2011,Female,30 to 39,330266
norway,2011,Female,40 to 49,348955
norway,2011,Female,50 to 59,306465
norway,2011,Female,60 to 69,263269
norway,2011,Female,70 to 79,159710
norway,2011,Female,80 to 89,112981
norway,2011,Female,90 to 99,29138
norway,2011,Female,Overall,2473232
norway,2011,Male,0 to 9,311896
norway,2011,Male,10 to 19,328157
norway,2011,Male,100 and over,0
norway,2011,Male,20 to 29,326906
norway,2011,Male,30 to 39,346579
norway,2011,Male,40 to 49,369536
norway,2011,Male,50 to 59,317477
norway,2011,Male,60 to 69,263946
norway,2011,Male,70 to 79,136115
norway,2011,Male,80 to 89,69292
norway,2011,Male,90 to 99,9958
norway,2011,Male,Overall,2479862
norway,2012,Both,0 to 9,615377
norway,2012,Both,10 to 19,635633
norway,2012,Both,100 and over,0
norway,2012,Both,20 to 29,661634
norway,2012,Both,30 to 39,678856
norway,2012,Both,40 to 49,730639
norway,2012,Both,50 to 59,631727
norway,2012,Both,60 to 69,541936
norway,2012,Both,70 to 79,301191
norway,2012,Both,80 to 89,181083
norway,2012,Both,90 to 99,40502
norway,2012,Both,Overall,5018578
norway,2012,Female,0 to 9,300103
norway,2012,Female,10 to 19,308975
norway,2012,Female,100 and over,0
norway,2012,Female,20 to 29,324098
norway,2012,Female,30 to 39,330100
norway,2012,Female,40 to 49,354502
norway,2012,Female,50 to 59,309886
norway,2012,Female,60 to 69,270217
norway,2012,Female,70 to 79,161804
norway,2012,Female,80 to 89,111457
norway,2012,Female,90 to 99,30044
norway,2012,Female,Overall,2501186
norway,2012,Male,0 to 9,315274
norway,2012,Male,10 to 19,326658
norway,2012,Male,100 and over,0
norway,2012,Male,20 to 29,337536
norway,2012,Male,30 to 39,348756
norway,2012,Male,40 to 49,376137
norway,2012,Male,50 to 59,321841
norway,2012,Male,60 to 69,271719
norway,2012,Male,70 to 79,139387
norway,2012,Male,80 to 89,69626
norway,2012,Male,90 to 99,10458
norway,2012,Male,Overall,2517392
norway,2013,Both,0 to 9,620790
norway,2013,Both,10 to 19,634263
norway,2013,Both,100 and over,0
norway,2013,Both,20 to 29,677623
norway,2013,Both,30 to 39,682464
norway,2013,Both,40 to 49,739653
norway,2013,Both,50 to 59,638825
norway,2013,Both,60 to 69,553940
norway,2013,Both,70 to 79,311441
norway,2013,Both,80 to 89,179445
norway,2013,Both,90 to 99,41728
norway,2013,Both,Overall,5080172
norway,2013,Female,0 to 9,302619
norway,2013,Female,10 to 19,308722
norway,2013,Female,100 and over,0
norway,2013,Female,20 to 29,331646
norway,2013,Female,30 to 39,331037
norway,2013,Female,40 to 49,358503
norway,2013,Female,50 to 59,313022
norway,2013,Female,60 to 69,276189
norway,2013,Female,70 to 79,166315
norway,2013,Female,80 to 89,109694
norway,2013,Female,90 to 99,30751
norway,2013,Female,Overall,2528498
norway,2013,Male,0 to 9,318171
norway,2013,Male,10 to 19,325541
norway,2013,Male,100 and over,0
norway,2013,Male,20 to 29,345977
norway,2013,Male,30 to 39,351427
norway,2013,Male,40 to 49,381150
norway,2013,Male,50 to 59,325803
norway,2013,Male,60 to 69,277751
norway,2013,Male,70 to 79,145126
norway,2013,Male,80 to 89,69751
norway,2013,Male,90 to 99,10977
norway,2013,Male,Overall,2551674
norway,2014,Both,0 to 9,623748
norway,2014,Both,10 to 19,634027
norway,2014,Both,100 and over,0
norway,2014,Both,20 to 29,691081
norway,2014,Both,30 to 39,686393
norway,2014,Both,40 to 49,745017
norway,2014,Both,50 to 59,647347
norway,2014,Both,60 to 69,562229
norway,2014,Both,70 to 79,326994
norway,2014,Both,80 to 89,177649
norway,2014,Both,90 to 99,42950
norway,2014,Both,Overall,5137435
norway,2014,Female,0 to 9,303958
norway,2014,Female,10 to 19,308758
norway,2014,Female,100 and over,0
norway,2014,Female,20 to 29,337988
norway,2014,Female,30 to 39,332420
norway,2014,Female,40 to 49,360946
norway,2014,Female,50 to 59,316813
norway,2014,Female,60 to 69,280496
norway,2014,Female,70 to 79,173567
norway,2014,Female,80 to 89,107876
norway,2014,Female,90 to 99,31482
norway,2014,Female,Overall,2554304
norway,2014,Male,0 to 9,319790
norway,2014,Male,10 to 19,325269
norway,2014,Male,100 and over,0
norway,2014,Male,20 to 29,353093
norway,2014,Male,30 to 39,353973
norway,2014,Male,40 to 49,384071
norway,2014,Male,50 to 59,330534
norway,2014,Male,60 to 69,281733
norway,2014,Male,70 to 79,153427
norway,2014,Male,80 to 89,69773
norway,2014,Male,90 to 99,11468
norway,2014,Male,Overall,2583131
norway,2015,Both,0 to 9,625705
norway,2015,Both,10 to 19,634135
norway,2015,Both,100 and over,0
norway,2015,Both,20 to 29,701370
norway,2015,Both,30 to 39,691030
norway,2015,Both,40 to 49,746644
norway,2015,Both,50 to 59,657023
norway,2015,Both,60 to 69,567754
norway,2015,Both,70 to 79,346006
norway,2015,Both,80 to 89,176507
norway,2015,Both,90 to 99,43726
norway,2015,Both,Overall,5189900
norway,2015,Female,0 to 9,304775
norway,2015,Female,10 to 19,308891
norway,2015,Female,100 and over,0
norway,2015,Female,20 to 29,342497
norway,2015,Female,30 to 39,334351
norway,2015,Female,40 to 49,362030
norway,2015,Female,50 to 59,321071
norway,2015,Female,60 to 69,283285
norway,2015,Female,70 to 79,182576
norway,2015,Female,80 to 89,106622
norway,2015,Female,90 to 99,31831
