region,year,sex,age_gr,population
belgium,2012,Male,90 to 99,37216
belgium,2013,Both,0 to 9,2550342
belgium,2013,Female,0 to 9,1246000
belgium,2013,Male,0 to 9,1304342
belgium,2013,Both,10 to 19,2482172
belgium,2013,Female,10 to 19,1214916
belgium,2013,Male,10 to 19,1267256
belgium,2013,Both,100 and over,3664
belgium,2013,Female,100 and over,3230
belgium,2013,Male,100 and over,434
belgium,2013,Both,20 to 29,2790148
belgium,2013,Female,20 to 29,1393418
belgium,2013,Male,20 to 29,1396730
belgium,2013,Both,30 to 39,2903130
belgium,2013,Female,30 to 39,1441426
belgium,2013,Male,30 to 39,1461704
belgium,2013,Both,40 to 49,3201328
belgium,2013,Female,40 to 49,1579496
belgium,2013,Male,40 to 49,1621832
belgium,2013,Both,50 to 59,3050440
belgium,2013,Female,50 to 59,1526210
belgium,2013,Male,50 to 59,1524230
belgium,2013,Both,60 to 69,2413644
belgium,2013,Female,60 to 69,1236798
belgium,2013,Male,60 to 69,1176846
belgium,2013,Both,70 to 79,1633790
belgium,2013,Female,70 to 79,902316
belgium,2013,Male,70 to 79,731474
belgium,2013,Both,80 to 89,1009490
belgium,2013,Female,80 to 89,640432
belgium,2013,Male,80 to 89,369058
belgium,2013,Both,90 to 99,160960
belgium,2013,Female,90 to 99,119890
belgium,2013,Male,90 to 99,41070
belgium,2014,Both,0 to 9,2569806
belgium,2014,Female,0 to 9,1255170
belgium,2014,Male,0 to 9,1314636
belgium,2014,Both,10 to 19,2473694
belgium,2014,Female,10 to 19,1210286
belgium,2014,Male,10 to 19,1263408
belgium,2014,Both,100 and over,3780
belgium,2014,Female,100 and over,3302
belgium,2014,Male,100 and over,478
belgium,2014,Both,20 to 29,2803442
belgium,2014,Female,20 to 29,1400286
belgium,2014,Male,20 to 29,1403156
belgium,2014,Both,30 to 39,2900482
belgium,2014,Female,30 to 39,1442594
belgium,2014,Male,30 to 39,1457888
belgium,2014,Both,40 to 49,3164248
belgium,2014,Female,40 to 49,1561284
belgium,2014,Male,40 to 49,1602964
belgium,2014,Both,50 to 59,3092388
belgium,2014,Female,50 to 59,1546276
belgium,2014,Male,50 to 59,1546112
belgium,2014,Both,60 to 69,2465286
belgium,2014,Female,60 to 69,1262288
belgium,2014,Male,60 to 69,1202998
belgium,2014,Both,70 to 79,1635908
belgium,2014,Female,70 to 79,900304
belgium,2014,Male,70 to 79,735604
belgium,2014,Both,80 to 89,1018816
belgium,2014,Female,80 to 89,642182
belgium,2014,Male,80 to 89,376634
belgium,2014,Both,90 to 99,173182
belgium,2014,Female,90 to 99,128442
belgium,2014,Male,90 to 99,44740
belgium,2015,Both,0 to 9,2582056
belgium,2015,Female,0 to 9,1260874
belgium,2015,Male,0 to 9,1321182
belgium,2015,Both,10 to 19,2479944
belgium,2015,Female,10 to 19,1213770
belgium,2015,Male,10 to 19,1266174
belgium,2015,Both,100 and over,4002
belgium,2015,Female,100 and over,3476
belgium,2015,Male,100 and over,526
belgium,2015,Both,20 to 29,2809848
belgium,2015,Female,20 to 29,1401458
belgium,2015,Male,20 to 29,1408390
belgium,2015,Both,30 to 39,2907468
belgium,2015,Female,30 to 39,1448850
belgium,2015,Male,30 to 39,1458618
belgium,2015,Both,40 to 49,3116616
belgium,2015,Female,40 to 49,1538024
belgium,2015,Male,40 to 49,1578592
belgium,2015,Both,50 to 59,3135128
belgium,2015,Female,50 to 59,1566278
belgium,2015,Male,50 to 59,1568850
belgium,2015,Both,60 to 69,2514344
belgium,2015,Female,60 to 69,1287146
belgium,2015,Male,60 to 69,1227198
belgium,2015,Both,70 to 79,1649968
belgium,2015,Female,70 to 79,904170
belgium,2015,Male,70 to 79,745798
belgium,2015,Both,80 to 89,1032440
belgium,2015,Female,80 to 89,646538
belgium,2015,Male,80 to 89,385902
belgium,2015,Both,90 to 99,186274
belgium,2015,Female,90 to 99,137316
belgium,2015,Male,90 to 99,48958
belgium,2016,Both,0 to 9,2588502
belgium,2016,Female,0 to 9,1264582
belgium,2016,Male,0 to 9,1323920
belgium,2016,Both,10 to 19,2494392
belgium,2016,Female,10 to 19,1220336
belgium,2016,Male,10 to 19,1274056
belgium,2016,Both,100 and over,3720
belgium,2016,Female,100 and over,3176
belgium,2016,Male,100 and over,544
belgium,2016,Both,20 to 29,2820552
belgium,2016,Female,20 to 29,1405052
belgium,2016,Male,20 to 29,1415500
belgium,2016,Both,30 to 39,2923002
belgium,2016,Female,30 to 39,1458506
belgium,2016,Male,30 to 39,1464496
belgium,2016,Both,40 to 49,3074586
belgium,2016,Female,40 to 49,1517822
belgium,2016,Male,40 to 49,1556764
belgium,2016,Both,50 to 59,3163112
belgium,2016,Female,50 to 59,1577512
belgium,2016,Male,50 to 59,1585600
belgium,2016,Both,60 to 69,2568786
belgium,2016,Female,60 to 69,1314432
belgium,2016,Male,60 to 69,1254354
belgium,2016,Both,70 to 79,1665702
belgium,2016,Female,70 to 79,909996
belgium,2016,Male,70 to 79,755706
belgium,2016,Both,80 to 89,1037680
belgium,2016,Female,80 to 89,645966
belgium,2016,Male,80 to 89,391714
belgium,2016,Both,90 to 99,195786
belgium,2016,Female,90 to 99,143376
belgium,2016,Male,90 to 99,52410
belgium,2017,Both,0 to 9,2585570
belgium,2017,Female,0 to 9,1262514
belgium,2017,Male,0 to 9,1323056
belgium,2017,Both,10 to 19,2513202
belgium,2017,Female,10 to 19,1228520
belgium,2017,Male,10 to 19,1284682
belgium,2017,Both,100 and over,3516
belgium,2017,Female,100 and over,3004
