region,year,sex,age_gr,population
belgium,2012,Female,0 to 9,615864
belgium,2012,Female,10 to 19,612247
belgium,2012,Female,100 and over,1577
belgium,2012,Female,20 to 29,691340
belgium,2012,Female,30 to 39,720355
belgium,2012,Female,40 to 49,793806
belgium,2012,Female,50 to 59,754089
belgium,2012,Female,60 to 69,600098
belgium,2012,Female,70 to 79,460400
belgium,2012,Female,80 to 89,316623
belgium,2012,Female,90 to 99,55748
belgium,2012,Female,Overall,5622147
belgium,2012,Male,0 to 9,645230
belgium,2012,Male,10 to 19,637834
belgium,2012,Male,100 and over,215
belgium,2012,Male,20 to 29,692548
belgium,2012,Male,30 to 39,731847
belgium,2012,Male,40 to 49,815525
belgium,2012,Male,50 to 59,752389
belgium,2012,Male,60 to 69,570316
belgium,2012,Male,70 to 79,369547
belgium,2012,Male,80 to 89,179742
belgium,2012,Male,90 to 99,18608
belgium,2012,Male,Overall,5413801
belgium,2013,Both,0 to 9,1275171
belgium,2013,Both,10 to 19,1241086
belgium,2013,Both,100 and over,1832
belgium,2013,Both,20 to 29,1395074
belgium,2013,Both,30 to 39,1451565
belgium,2013,Both,40 to 49,1600664
belgium,2013,Both,50 to 59,1525220
belgium,2013,Both,60 to 69,1206822
belgium,2013,Both,70 to 79,816895
belgium,2013,Both,80 to 89,504745
belgium,2013,Both,90 to 99,80480
belgium,2013,Both,Overall,11099554
belgium,2013,Female,0 to 9,623000
belgium,2013,Female,10 to 19,607458
belgium,2013,Female,100 and over,1615
belgium,2013,Female,20 to 29,696709
belgium,2013,Female,30 to 39,720713
belgium,2013,Female,40 to 49,789748
belgium,2013,Female,50 to 59,763105
belgium,2013,Female,60 to 69,618399
belgium,2013,Female,70 to 79,451158
belgium,2013,Female,80 to 89,320216
belgium,2013,Female,90 to 99,59945
belgium,2013,Female,Overall,5652066
belgium,2013,Male,0 to 9,652171
belgium,2013,Male,10 to 19,633628
belgium,2013,Male,100 and over,217
belgium,2013,Male,20 to 29,698365
belgium,2013,Male,30 to 39,730852
belgium,2013,Male,40 to 49,810916
belgium,2013,Male,50 to 59,762115
belgium,2013,Male,60 to 69,588423
belgium,2013,Male,70 to 79,365737
belgium,2013,Male,80 to 89,184529
belgium,2013,Male,90 to 99,20535
belgium,2013,Male,Overall,5447488
belgium,2014,Both,0 to 9,1284903
belgium,2014,Both,10 to 19,1236847
belgium,2014,Both,100 and over,1890
belgium,2014,Both,20 to 29,1401721
belgium,2014,Both,30 to 39,1450241
belgium,2014,Both,40 to 49,1582124
belgium,2014,Both,50 to 59,1546194
belgium,2014,Both,60 to 69,1232643
belgium,2014,Both,70 to 79,817954
belgium,2014,Both,80 to 89,509408
belgium,2014,Both,90 to 99,86591
belgium,2014,Both,Overall,11150516
belgium,2014,Female,0 to 9,627585
belgium,2014,Female,10 to 19,605143
belgium,2014,Female,100 and over,1651
belgium,2014,Female,20 to 29,700143
belgium,2014,Female,30 to 39,721297
belgium,2014,Female,40 to 49,780642
belgium,2014,Female,50 to 59,773138
belgium,2014,Female,60 to 69,631144
belgium,2014,Female,70 to 79,450152
belgium,2014,Female,80 to 89,321091
belgium,2014,Female,90 to 99,64221
belgium,2014,Female,Overall,5676207
belgium,2014,Male,0 to 9,657318
belgium,2014,Male,10 to 19,631704
belgium,2014,Male,100 and over,239
belgium,2014,Male,20 to 29,701578
belgium,2014,Male,30 to 39,728944
belgium,2014,Male,40 to 49,801482
belgium,2014,Male,50 to 59,773056
belgium,2014,Male,60 to 69,601499
belgium,2014,Male,70 to 79,367802
belgium,2014,Male,80 to 89,188317
belgium,2014,Male,90 to 99,22370
belgium,2014,Male,Overall,5474309
belgium,2015,Both,0 to 9,1291028
belgium,2015,Both,10 to 19,1239972
belgium,2015,Both,100 and over,2001
belgium,2015,Both,20 to 29,1404924
belgium,2015,Both,30 to 39,1453734
belgium,2015,Both,40 to 49,1558308
belgium,2015,Both,50 to 59,1567564
belgium,2015,Both,60 to 69,1257172
belgium,2015,Both,70 to 79,824984
belgium,2015,Both,80 to 89,516220
belgium,2015,Both,90 to 99,93137
belgium,2015,Both,Overall,11209044
belgium,2015,Female,0 to 9,630437
belgium,2015,Female,10 to 19,606885
belgium,2015,Female,100 and over,1738
belgium,2015,Female,20 to 29,700729
belgium,2015,Female,30 to 39,724425
belgium,2015,Female,40 to 49,769012
belgium,2015,Female,50 to 59,783139
belgium,2015,Female,60 to 69,643573
belgium,2015,Female,70 to 79,452085
belgium,2015,Female,80 to 89,323269
belgium,2015,Female,90 to 99,68658
belgium,2015,Female,Overall,5703950
belgium,2015,Male,0 to 9,660591
belgium,2015,Male,10 to 19,633087
belgium,2015,Male,100 and over,263
belgium,2015,Male,20 to 29,704195
belgium,2015,Male,30 to 39,729309
